"Phi [deg]","Theta [deg]","Freq [GHz]","dB(GainTotal) []"
0,0,2,6.6510854011576
0,0,2.0025,6.66399954141309
0,0,2.005,6.67691594964386
0,0,2.0075,6.68983052499293
0,0,2.01,6.70273974871553
0,0,2.0125,6.71564016593622
0,0,2.015,6.72852885958126
0,0,2.0175,6.74140290076097
0,0,2.02,6.75425964235816
0,0,2.0225,6.76709651324168
0,0,2.025,6.77991115819565
0,0,2.0275,6.79270130971607
0,0,2.03,6.80546476878606
0,0,2.0325,6.81819950571701
0,0,2.035,6.83090339300263
0,0,2.0375,6.84357465753006
0,0,2.04,6.85621134238367
0,0,2.0425,6.86881166905169
0,0,2.045,6.88137388974152
0,0,2.0475,6.89389624009316
0,0,2.05,6.90637714795455
0,0,2.0525,6.9188149831621
0,0,2.055,6.93120813129121
0,0,2.0575,6.94355508029881
0,0,2.06,6.95585436239254
0,0,2.0625,6.96810445293308
0,0,2.065,6.98030399923378
0,0,2.0675,6.99245155299992
0,0,2.07,7.00454573772949
0,0,2.0725,7.01658525830966
0,0,2.075,7.02856877768819
0,0,2.0775,7.04049495129011
0,0,2.08,7.05236261078866
0,0,2.0825,7.06417047648177
0,0,2.085,7.07591734668459
0,0,2.0875,7.08760202945289
0,0,2.09,7.09922338601219
0,0,2.0925,7.11078029092407
0,0,2.095,7.1222715624335
0,0,2.0975,7.13369614047742
0,0,2.1,7.14505295420241
0,0,2.1025,7.15634092257224
0,0,2.105,7.16755907645756
0,0,2.1075,7.17870628274702
0,0,2.11,7.18978172461291
0,0,2.1125,7.20078423206342
0,0,2.115,7.21171295728917
0,0,2.1175,7.2225669933524
0,0,2.12,7.23334533776678
0,0,2.1225,7.24404708222757
0,0,2.125,7.25467141807735
0,0,2.1275,7.26521736214398
0,0,2.13,7.27568417633153
0,0,2.1325,7.28607090506559
0,0,2.135,7.29637685565722
0,0,2.1375,7.30660109050844
0,0,2.14,7.31674288504152
0,0,2.1425,7.32680145555679
0,0,2.145,7.3367760026908
0,0,2.1475,7.34666582137405
0,0,2.15,7.35647013272111
0,0,2.1525,7.3661882161642
0,0,2.155,7.37581931430377
0,0,2.1575,7.38536282429357
0,0,2.16,7.39481792821584
0,0,2.1625,7.40418403240325
0,0,2.165,7.41346047766369
0,0,2.1675,7.42264650772309
0,0,2.17,7.43174155971071
0,0,2.1725,7.44074499690026
0,0,2.175,7.44965605745374
0,0,2.1775,7.45847425087534
0,0,2.18,7.46719890627439
0,0,2.1825,7.47582945180505
0,0,2.185,7.48436523085942
0,0,2.1875,7.49280569048116
0,0,2.19,7.50115018793498
0,0,2.1925,7.50939817505135
0,0,2.195,7.51754909059238
0,0,2.1975,7.5256023505827
0,0,2.2,7.53355732956528
0,0,2.2025,7.54141352720938
0,0,2.205,7.54917044018932
0,0,2.2075,7.55682731352916
0,0,2.21,7.56438373528669
0,0,2.2125,7.57183913062003
0,0,2.215,7.57919297187195
0,0,2.2175,7.58644466276004
0,0,2.22,7.59359363544066
0,0,2.2225,7.6006393886716
0,0,2.225,7.60758133086129
0,0,2.2275,7.6144189606522
0,0,2.23,7.62115165276549
0,0,2.2325,7.6277788888134
0,0,2.235,7.63430012911068
0,0,2.2375,7.64071478702982
0,0,2.24,7.64702228566975
0,0,2.2425,7.65322210501658
0,0,2.245,7.6593135958545
0,0,2.2475,7.66529628142452
0,0,2.25,7.67116949379168
0,0,2.2525,7.67693269302106
0,0,2.255,7.68258526938794
0,0,2.2575,7.68812659241172
0,0,2.26,7.69355613145929
0,0,2.2625,7.69887321121888
0,0,2.265,7.70407716884809
0,0,2.2675,7.70916744021024
0,0,2.27,7.71414339616223
0,0,2.2725,7.7190043368805
0,0,2.275,7.72374959738898
0,0,2.2775,7.72837852296928
0,0,2.28,7.73289048568302
0,0,2.2825,7.73728473526108
0,0,2.285,7.74156054664943
0,0,2.2875,7.74571722744047
0,0,2.29,7.74975409765302
0,0,2.2925,7.7536703421748
0,0,2.295,7.75746523009325
0,0,2.2975,7.76113804456819
0,0,2.3,7.76468792280309
0,0,2.3025,7.76811412186451
0,0,2.305,7.77141577071559
0,0,2.3075,7.77459212082453
0,0,2.31,7.77764225204456
0,0,2.3125,7.78056535751406
0,0,2.315,7.7833605725654
0,0,2.3175,7.78602688651967
0,0,2.32,7.78856349611763
0,0,2.3225,7.79096941069376
0,0,2.325,7.7932436857744
0,0,2.3275,7.79538533019984
0,0,2.33,7.79739332374255
0,0,2.3325,7.79926663310878
0,0,2.335,7.80100414268784
0,0,2.3375,7.80260478720095
0,0,2.34,7.80406741346463
0,0,2.3425,7.80539090210181
0,0,2.345,7.80657387250856
0,0,2.3475,7.80761513082688
0,0,2.35,7.80851334915015
0,0,2.3525,7.80926715190121
0,0,2.355,7.80987505852333
0,0,2.3575,7.81033556887321
0,0,2.36,7.81064714560009
0,0,2.3625,7.81080818118147
0,0,2.365,7.81081703091357
0,0,2.3675,7.81067188582778
0,0,2.37,7.81037119015815
0,0,2.3725,7.80991314110812
0,0,2.375,7.80929601189202
0,0,2.3775,7.80851811666293
0,0,2.38,7.80757784568543
0,0,2.3825,7.80647353093094
0,0,2.385,7.80520372546131
0,0,2.3875,7.80376689961901
0,0,2.39,7.80216166238662
0,0,2.3925,7.80038676421491
0,0,2.395,7.79844078902491
0,0,2.3975,7.79632254391784
0,0,2.4,7.79403079059938
0,0,2.4025,7.79156420577722
0,0,2.405,7.78892160434222
0,0,2.4075,7.78610161003877
0,0,2.41,7.78310289176239
0,0,2.4125,7.77992409729363
0,0,2.415,7.77656369808741
0,0,2.4175,7.77302020676319
0,0,2.42,7.76929207908909
0,0,2.4225,7.7653777548313
0,0,2.425,7.76127543221323
0,0,2.4275,7.75698348364247
0,0,2.43,7.75250022602935
0,0,2.4325,7.74782379546206
0,0,2.435,7.7429523939201
0,0,2.4375,7.73788424771204
0,0,2.44,7.73261742213787
0,0,2.4425,7.72715016398643
0,0,2.445,7.72148051208428
0,0,2.4475,7.71560657035075
0,0,2.45,7.70952646161594
0,0,2.4525,7.70323836257136
0,0,2.455,7.69674029982295
0,0,2.4575,7.69003042686269
0,0,2.46,7.68310691458413
0,0,2.4625,7.67596777327317
0,0,2.465,7.66861120712147
0,0,2.4675,7.66103525631308
0,0,2.47,7.65323811774539
0,0,2.4725,7.64521775746057
0,0,2.475,7.63697242221614
0,0,2.4775,7.6285001230335
0,0,2.48,7.61979908681131
0,0,2.4825,7.61086745890606
0,0,2.485,7.60170352399788
0,0,2.4875,7.59230543814066
0,0,2.49,7.58267138370964
0,0,2.4925,7.57279975946302
0,0,2.495,7.56268887219753
0,0,2.4975,7.5523370774618
0,0,2.5,7.54174269370719
0,0,2.5025,7.53090413171151
0,0,2.505,7.5198199476265
0,0,2.5075,7.50848859186456
0,0,2.51,7.49690861102642
0,0,2.5125,7.48507852661846
0,0,2.515,7.47299712877732
0,0,2.5175,7.4606630409215
0,0,2.52,7.44807510546125
0,0,2.5225,7.43523231439955
0,0,2.525,7.42213399436786
0,0,2.5275,7.40878006791173
0,0,2.53,7.39517178801441
0,0,2.5325,7.38131214895476
0,0,2.535,7.36720390076408
0,0,2.5375,7.35283861005099
0,0,2.54,7.33819528655557
0,0,2.5425,7.32326891018562
0,0,2.545,7.30807008083758
0,0,2.5475,7.29260589767883
0,0,2.55,7.27687812036592
0,0,2.5525,7.26088629619567
0,0,2.555,7.24462956903848
0,0,2.5575,7.22810717068581
0,0,2.56,7.21131833522362
0,0,2.5625,7.19426241042913
0,0,2.565,7.17693871342519
0,0,2.5675,7.15934945071273
0,0,2.57,7.14159561707541
0,0,2.5725,7.12346634037373
0,0,2.575,7.10503697961781
0,0,2.5775,7.08636999671727
0,0,2.58,7.06744379628554
0,0,2.5825,7.04825464948956
0,0,2.585,7.02880208014819
0,0,2.5875,7.00908694011873
0,0,2.59,6.9891109429971
0,0,2.5925,6.96887559086607
0,0,2.595,6.94837944188979
0,0,2.5975,6.92762262585606
0,0,2.6,6.906712855896
0,0,2.6025,6.8854296217389
0,0,2.605,6.86400261392146
0,0,2.6075,6.84220885744806
0,0,2.61,6.82011715724865
0,0,2.6125,6.79795055933838
0,0,2.615,6.77546937759786
0,0,2.6175,6.75273652824693
0,0,2.62,6.72976287516299
0,0,2.6225,6.70655435301166
0,0,2.625,6.68311508181086
0,0,2.6275,6.65946349675577
0,0,2.63,6.63559378627807
0,0,2.6325,6.61145678546605
0,0,2.635,6.58710207440283
0,0,2.6375,6.56252857545668
0,0,2.64,6.53773929944044
0,0,2.6425,6.51272381287293
0,0,2.645,6.48749176609393
0,0,2.6475,6.46206133555903
0,0,2.65,6.43643696880941
0,0,2.6525,6.4106188800688
0,0,2.655,6.38460991334501
0,0,2.6575,6.35841453095471
0,0,2.66,6.33203690196138
0,0,2.6625,6.30548093988349
0,0,2.665,6.278750865648
0,0,2.6675,6.25185090776293
0,0,2.67,6.2247865009387
0,0,2.6725,6.19756167595779
0,0,2.675,6.17018228088618
0,0,2.6775,6.14265372845437
0,0,2.68,6.11498176859839
0,0,2.6825,6.08717218950126
0,0,2.685,6.05923082462869
0,0,2.6875,6.03116374828726
0,0,2.69,6.00297701839392
0,0,2.6925,5.97467732421411
0,0,2.695,5.94627080717577
0,0,2.6975,5.91776272104918
0,0,2.7,5.8891609482651
0,0,2.7025,5.86047154370277
0,0,2.705,5.8317012100256
0,0,2.7075,5.8028566085351
0,0,2.71,5.77394451012031
0,0,2.7125,5.74497172851785
0,0,2.715,5.71594512271094
0,0,2.7175,5.68687153552364
0,0,2.72,5.65775801029578
0,0,2.7225,5.62861131994792
0,0,2.725,5.59943821473046
0,0,2.7275,5.57024562229019
0,0,2.73,5.54104009147758
0,0,2.7325,5.51182830036765
0,0,2.735,5.48261687685357
0,0,2.7375,5.45341254246232
0,0,2.74,5.42422208136967
0,0,2.7425,5.39505261975424
0,0,2.745,5.36591126293842
0,0,2.7475,5.33680532994904
0,0,2.75,5.30774203632669
0,0,2.7525,5.27872883429314
0,0,2.755,5.24977288875638
0,0,2.7575,5.22088180595822
